FIRE_CAUSE,LATITUDE,LONGITUDE,SIZE_HA,Year,Month,Weather City,Region Name,Region Number,Region Area,Lightning Dummy
Lightning,57.376900000000006,-120.059,0.06,2008,06,Dawson Creek,Peace River,55.0,11738755.0,1
Lightning,50.0651,-121.5897,0.009,2018,06,Whistler,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.775000000000006,-117.1917,0.009,2014,08,Golden,Central Kootenay,3.0,2209494.0,1
Person,49.3583,-122.6334,0.009,2014,07,Vancouver,Greater Vancouver,15.0,288268.0,0
Unknown,49.0441,-123.8892,0.3,2012,08,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,50.6722,-117.344,0.2,2004,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Person,52.026,-123.1821,0.009,2015,03,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,49.653200000000005,-119.7543,0.009,2001,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,51.0942,-119.0557,0.009,2002,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Person,50.7591,-116.2909,0.009,2006,08,Golden,East Kootenay,1.0,2754184.0,0
Lightning,50.4551,-116.0461,0.2,2008,07,Golden,East Kootenay,1.0,2754184.0,1
Lightning,53.4138,-120.3289,0.037,2012,08,Williams Lake,Fraser-Fort George,53.0,5067610.0,1
Person,56.5202,-120.6703,0.3,2014,08,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,59.0338,-122.9593,0.3,2018,06,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,54.2577,-123.2457,13.8,2009,06,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,55.5923,-122.4407,100.0,2002,05,Prince George,Peace River,55.0,11738755.0,0
Lightning,55.769200000000005,-123.2093,0.6,2019,08,Prince George,Peace River,55.0,11738755.0,1
Person,50.8667,-116.5258,0.002,2016,05,Golden,East Kootenay,1.0,2754184.0,0
Lightning,49.0497,-115.0224,0.1,2017,08,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,55.0201,-126.5573,114.0,2004,06,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,50.493300000000005,-123.0022,2.5,2009,07,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,49.8063,-117.4413,3137.0,2007,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,53.8055,-121.0414,0.009,2015,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,59.384600000000006,-121.6062,2.5,2002,06,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,51.0794,-121.0025,0.009,2006,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,54.494600000000005,-125.7614,0.009,2015,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Person,49.1871,-119.5202,2.0,2003,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,49.4714,-119.3219,0.2,2015,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Person,49.2833,-115.8183,0.009,2002,06,Sparwood,East Kootenay,1.0,2754184.0,0
Person,52.4785,-125.2868,0.25,2002,04,Bella Coola,Cariboo,41.0,8060975.0,0
Lightning,50.193000000000005,-118.1681,0.009,2010,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,49.3211,-124.2969,0.009,2008,08,Vancouver,Nanaimo,21.0,203804.0,0
Person,56.5097,-120.3833,310.0,2009,01,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,51.9394,-122.925,1.0,2015,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,55.0709,-127.4886,1.5,2015,07,Smithers,Kitimat-Stikine,49.0,10446461.0,1
Person,49.7552,-119.1793,0.009,2003,06,Penticton,Kooteny Boundary,5.0,808452.0,0
Lightning,49.9391,-114.927,0.04,2018,08,Sparwood,East Kootenay,1.0,2754184.0,1
Person,49.798300000000005,-114.8851,0.2,2001,06,Sparwood,East Kootenay,1.0,2754184.0,0
Lightning,51.079800000000006,-118.7063,0.009,2003,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,51.1772,-117.7214,0.15,2013,08,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,52.1968,-123.9563,0.009,2010,07,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.1937,-124.131,0.009,2003,06,Vancouver,Nanaimo,21.0,203804.0,0
Person,49.6792,-116.8745,0.1,2002,09,Nakusp,Central Kootenay,3.0,2209494.0,0
Person,53.8844,-123.085,3.7,2014,05,Prince George,Fraser-Fort George,53.0,5067610.0,0
Lightning,51.0168,-118.8692,0.009,2007,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Unknown,50.6396,-116.3323,0.023,2016,08,Golden,East Kootenay,1.0,2754184.0,0
Person,49.375800000000005,-121.5059,0.009,2009,07,Whistler,Fraser Valley,9.0,1333528.0,0
Lightning,55.4958,-127.8585,0.009,2004,06,Smithers,Kitimat-Stikine,49.0,10446461.0,1
Person,56.5797,-121.416,0.1,2001,05,Dawson Creek,Peace River,55.0,11738755.0,0
Person,53.9728,-125.8822,0.009,2006,04,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,49.2701,-116.4141,0.18,2015,07,Sparwood,Central Kootenay,3.0,2209494.0,1
Person,49.5028,-121.2853,0.009,2004,07,Penticton,Fraser Valley,9.0,1333528.0,0
Lightning,50.8797,-117.982,0.04,2013,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Person,55.8038,-121.8251,0.01,2007,07,Dawson Creek,Peace River,55.0,11738755.0,0
Person,56.485200000000006,-121.19,6.0,2017,09,Dawson Creek,Peace River,55.0,11738755.0,0
Person,53.9101,-122.9737,0.009,2010,08,Prince George,Fraser-Fort George,53.0,5067610.0,0
Lightning,50.7342,-122.4167,2414.0,2004,06,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,54.2011,-122.4281,0.04,2003,08,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,50.700500000000005,-120.5153,0.009,2004,08,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,53.9982,-123.9467,3.9,2010,04,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Person,50.5593,-127.5366,0.009,2016,08,Port Hardy,Mount Waddington,43.0,2024427.0,0
Lightning,55.2763,-121.8839,0.05,2003,07,Prince George,Peace River,55.0,11738755.0,1
Person,49.2775,-121.9653,0.009,2003,06,Vancouver,Fraser Valley,9.0,1333528.0,0
Person,55.4847,-125.9637,2.5,2019,05,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,50.7432,-120.305,0.009,2001,06,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,49.7539,-119.8128,2.5,2017,08,Penticton,Central Okanagan,35.0,290486.0,0
Lightning,49.5385,-119.6371,0.009,2015,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,51.6414,-118.568,0.1,2009,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.0782,-116.9946,0.009,2006,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,49.7481,-118.583,0.6,2003,08,Nakusp,Kooteny Boundary,5.0,808452.0,1
Lightning,52.8447,-119.5418,0.5,2008,08,Williams Lake,Fraser-Fort George,53.0,5067610.0,1
Person,50.141200000000005,-119.5145,0.009,2008,08,Penticton,Central Okanagan,35.0,290486.0,0
Person,49.8787,-125.5771,0.1,2004,05,Tofino,Comox + Strathacona,25.0,1997796.0,0
Person,54.0261,-128.5901,0.009,2009,06,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Lightning,50.688300000000005,-121.7553,0.4,2009,06,Whistler,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.2833,-122.0,0.5,2009,07,Whistler,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.4178,-116.9491,13.0,2015,06,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,50.0,-119.569,0.009,2003,07,Penticton,Central Okanagan,35.0,290486.0,0
Person,49.4397,-120.2967,0.01,2008,09,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,50.1488,-118.1704,15.0,2018,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,49.0992,-123.9947,0.009,2010,08,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,50.6702,-120.8525,0.009,2003,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,51.4493,-123.9853,3.1,2006,08,Whistler,Cariboo,41.0,8060975.0,0
Person,51.833400000000005,-117.8293,0.009,2016,10,Golden,Columbia-Shuswap,39.0,2892919.0,0
Lightning,53.6358,-126.2271,200.0,2009,07,Bella Coola,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,51.2883,-121.32,0.4,2004,05,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,56.691300000000005,-120.9712,0.009,2016,04,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,50.3094,-116.998,0.009,2001,07,Nakusp,Central Kootenay,3.0,2209494.0,1
