Region Number,Name,Year,Population
39,Columbia-Shuswap,2007,51748
41,Cariboo,2007,64294
43,Mount Waddington,2007,11998
45,Central Coast,2007,3256
47,North Coast ,2007,19962
49,Kitimat-Stikine,2007,39184
53,Fraser-Fort George,2007,95714
55,Peace River,2007,61113
59,Northern Rockies,2007,6211
25,Comox + Strathacona,2007,105448
51,Bulkley-Nechako + Stikine,2007,40156
1,East Kootenay,2008,58060
3,Central Kootenay,2008,58436
5,Kootenay-Boundary,2008,31721
7,Okanagan-Similkameen,2008,82118
9,Fraser Valley,2008,273819
15,Greater Vancouver,2008,2253640
17,Capital,2008,359585
19,Cowichan Valley,2008,80296
21,Nanaimo,2008,145455
23,Alberni-Clayoquot,2008,31562
27,Powell River,2008,20303
29,Sunshine Coast,2008,28948
31,Squamish-Lillooet,2008,38058
33,Thompson-Nicola,2008,129890
35,Central Okanagan,2008,175192
37,North Okanagan,2008,81474
39,Columbia-Shuswap,2008,51981
41,Cariboo,2008,64679
43,Mount Waddington,2008,12023
45,Central Coast,2008,3241
47,North Coast ,2008,19880
49,Kitimat-Stikine,2008,39172
53,Fraser-Fort George,2008,95412
55,Peace River,2008,61230
59,Northern Rockies,2008,5994
25,Comox + Strathacona,2008,106785
51,Bulkley-Nechako + Stikine,2008,40382
1,East Kootenay,2009,58276
3,Central Kootenay,2009,58838
5,Kootenay-Boundary,2009,31712
7,Okanagan-Similkameen,2009,81918
9,Fraser Valley,2009,277581
15,Greater Vancouver,2009,2301223
17,Capital,2009,363445
19,Cowichan Valley,2009,80847
21,Nanaimo,2009,146500
23,Alberni-Clayoquot,2009,31699
27,Powell River,2009,20245
29,Sunshine Coast,2009,29009
31,Squamish-Lillooet,2009,38981
33,Thompson-Nicola,2009,130685
35,Central Okanagan,2009,178379
37,North Okanagan,2009,82134
39,Columbia-Shuswap,2009,51804
41,Cariboo,2009,64169
43,Mount Waddington,2009,11845
45,Central Coast,2009,3242
47,North Coast ,2009,19670
49,Kitimat-Stikine,2009,39083
53,Fraser-Fort George,2009,94263
55,Peace River,2009,61457
59,Northern Rockies,2009,5983
25,Comox + Strathacona,2009,107165
51,Bulkley-Nechako + Stikine,2009,40353
1,East Kootenay,2010,58151
3,Central Kootenay,2010,59244
5,Kootenay-Boundary,2010,31727
7,Okanagan-Similkameen,2010,81664
9,Fraser Valley,2010,281345
15,Greater Vancouver,2010,2344223
17,Capital,2010,366716
19,Cowichan Valley,2010,81306
21,Nanaimo,2010,147895
23,Alberni-Clayoquot,2010,31749
27,Powell River,2010,20238
29,Sunshine Coast,2010,29007
31,Squamish-Lillooet,2010,39153
33,Thompson-Nicola,2010,130947
35,Central Okanagan,2010,181491
37,North Okanagan,2010,82442
39,Columbia-Shuswap,2010,51681
41,Cariboo,2010,63796
43,Mount Waddington,2010,11807
45,Central Coast,2010,3261
47,North Coast ,2010,19460
49,Kitimat-Stikine,2010,38610
53,Fraser-Fort George,2010,93943
55,Peace River,2010,61285
59,Northern Rockies,2010,6059
25,Comox + Strathacona,2010,107728
51,Bulkley-Nechako + Stikine,2010,40618
1,East Kootenay,2011,57743
3,Central Kootenay,2011,59348
5,Kootenay-Boundary,2011,31530
7,Okanagan-Similkameen,2011,81752
9,Fraser Valley,2011,283966
15,Greater Vancouver,2011,2374754
17,Capital,2011,367617
19,Cowichan Valley,2011,81567
21,Nanaimo,2011,148912
23,Alberni-Clayoquot,2011,31623
27,Powell River,2011,20131
29,Sunshine Coast,2011,28976
31,Squamish-Lillooet,2011,39385
33,Thompson-Nicola,2011,130925
35,Central Okanagan,2011,183607
37,North Okanagan,2011,82469
39,Columbia-Shuswap,2011,51275
41,Cariboo,2011,63380
43,Mount Waddington,2011,11720
45,Central Coast,2011,3285
47,North Coast ,2011,19133
49,Kitimat-Stikine,2011,38092
53,Fraser-Fort George,2011,94022
55,Peace River,2011,61798
59,Northern Rockies,2011,6067
25,Comox + Strathacona,2011,108458
51,Bulkley-Nechako + Stikine,2011,40569
1,East Kootenay,2012,58613.0
3,Central Kootenay,2012,59217.0
5,Kootenay-Boundary,2012,31790.0
7,Okanagan-Similkameen,2012,81296.0
9,Fraser Valley,2012,287821.0
15,Greater Vancouver,2012,2419034.0
17,Capital,2012,374298.0
19,Cowichan Valley,2012,81897.0
21,Nanaimo,2012,150516.0
23,Alberni-Clayoquot,2012,31444.0
27,Powell River,2012,20156.0
29,Sunshine Coast,2012,29158.0
31,Squamish-Lillooet,2012,40484.0
33,Thompson-Nicola,2012,131630.0
35,Central Okanagan,2012,186128.0
37,North Okanagan,2012,83136.0
39,Columbia-Shuswap,2012,51069.0
41,Cariboo,2012,63243.0
43,Mount Waddington,2012,11759.0
45,Central Coast,2012,3306.0
47,North Coast ,2012,19058.0
49,Kitimat-Stikine,2012,38107.0
53,Fraser-Fort George,2012,94563.0
55,Peace River,2012,63118.0
59,Northern Rockies,2012,6311.0
25,Comox + Strathacona,2012,109184.0
51,Bulkley-Nechako + Stikine,2012,40433.0
1,East Kootenay,2013,59540.0
3,Central Kootenay,2013,59495.0
5,Kootenay-Boundary,2013,31736.0
7,Okanagan-Similkameen,2013,81664.0
9,Fraser Valley,2013,291210.0
15,Greater Vancouver,2013,2459496.0
17,Capital,2013,380835.0
19,Cowichan Valley,2013,82588.0
21,Nanaimo,2013,152325.0
23,Alberni-Clayoquot,2013,31335.0
27,Powell River,2013,20256.0
29,Sunshine Coast,2013,29319.0
31,Squamish-Lillooet,2013,41362.0
33,Thompson-Nicola,2013,133018.0
35,Central Okanagan,2013,189123.0
37,North Okanagan,2013,83563.0
39,Columbia-Shuswap,2013,51299.0
41,Cariboo,2013,63280.0
43,Mount Waddington,2013,11666.0
45,Central Coast,2013,3373.0
47,North Coast ,2013,19008.0
49,Kitimat-Stikine,2013,38458.0
53,Fraser-Fort George,2013,95686.0
55,Peace River,2013,64264.0
59,Northern Rockies,2013,6136.0
25,Comox + Strathacona,2013,109691.0
51,Bulkley-Nechako + Stikine,2013,40351.0
1,East Kootenay,2014,60723.0
3,Central Kootenay,2014,59943.0
5,Kootenay-Boundary,2014,31845.0
7,Okanagan-Similkameen,2014,82848.0
9,Fraser Valley,2014,295062.0
15,Greater Vancouver,2014,2507464.0
17,Capital,2014,386307.0
19,Cowichan Valley,2014,83868.0
21,Nanaimo,2014,154934.0
23,Alberni-Clayoquot,2014,31503.0
27,Powell River,2014,20371.0
29,Sunshine Coast,2014,29837.0
31,Squamish-Lillooet,2014,42641.0
33,Thompson-Nicola,2014,134284.0
35,Central Okanagan,2014,193255.0
37,North Okanagan,2014,84722.0
39,Columbia-Shuswap,2014,51468.0
41,Cariboo,2014,63624.0
43,Mount Waddington,2014,11691.0
45,Central Coast,2014,3360.0
47,North Coast ,2014,18973.0
49,Kitimat-Stikine,2014,39100.0
53,Fraser-Fort George,2014,96454.0
55,Peace River,2014,65422.0
59,Northern Rockies,2014,6016.0
25,Comox + Strathacona,2014,111006.0
51,Bulkley-Nechako + Stikine,2014,40382.0
1,East Kootenay,2015,61878.0
3,Central Kootenay,2015,60796.0
5,Kootenay-Boundary,2015,32035.0
7,Okanagan-Similkameen,2015,84091.0
9,Fraser Valley,2015,300914.0
15,Greater Vancouver,2015,2544513.0
17,Capital,2015,392200.0
19,Cowichan Valley,2015,85081.0
21,Nanaimo,2015,157944.0
23,Alberni-Clayoquot,2015,31743.0
27,Powell River,2015,20361.0
29,Sunshine Coast,2015,30359.0
31,Squamish-Lillooet,2015,43367.0
33,Thompson-Nicola,2015,135681.0
35,Central Okanagan,2015,198303.0
37,North Okanagan,2015,85772.0
39,Columbia-Shuswap,2015,52360.0
41,Cariboo,2015,63858.0
43,Mount Waddington,2015,11514.0
45,Central Coast,2015,3359.0
47,North Coast ,2015,18950.0
49,Kitimat-Stikine,2015,39041.0
53,Fraser-Fort George,2015,97474.0
55,Peace River,2015,65928.0
59,Northern Rockies,2015,5771.0
25,Comox + Strathacona,2015,112973.0
51,Bulkley-Nechako + Stikine,2015,40122.0
1,East Kootenay,2016,62775.0
3,Central Kootenay,2016,61753.0
5,Kootenay-Boundary,2016,32591.0
7,Okanagan-Similkameen,2016,85829.0
9,Fraser Valley,2016,309442.0
15,Greater Vancouver,2016,2582207.0
17,Capital,2016,400562.0
19,Cowichan Valley,2016,86849.0
21,Nanaimo,2016,161435.0
23,Alberni-Clayoquot,2016,32287.0
27,Powell River,2016,20729.0
29,Sunshine Coast,2016,30952.0
31,Squamish-Lillooet,2016,45530.0
33,Thompson-Nicola,2016,138136.0
35,Central Okanagan,2016,203998.0
37,North Okanagan,2016,87523.0
39,Columbia-Shuswap,2016,53426.0
41,Cariboo,2016,64293.0
43,Mount Waddington,2016,11432.0
45,Central Coast,2016,3464.0
47,North Coast ,2016,19001.0
49,Kitimat-Stikine,2016,38959.0
53,Fraser-Fort George,2016,98862.0
55,Peace River,2016,65950.0
59,Northern Rockies,2016,5641.0
25,Comox + Strathacona,2016,115383.0
51,Bulkley-Nechako + Stikine,2016,40241.0
1,East Kootenay,2017,63280.0
3,Central Kootenay,2017,62324.0
5,Kootenay-Boundary,2017,32839.0
7,Okanagan-Similkameen,2017,86943.0
9,Fraser Valley,2017,316680.0
15,Greater Vancouver,2017,2616913.0
17,Capital,2017,406681.0
19,Cowichan Valley,2017,88333.0
21,Nanaimo,2017,164533.0
23,Alberni-Clayoquot,2017,32579.0
27,Powell River,2017,20859.0
29,Sunshine Coast,2017,31268.0
31,Squamish-Lillooet,2017,46672.0
33,Thompson-Nicola,2017,140629.0
35,Central Okanagan,2017,208476.0
37,North Okanagan,2017,88745.0
39,Columbia-Shuswap,2017,54406.0
41,Cariboo,2017,64710.0
43,Mount Waddington,2017,11507.0
45,Central Coast,2017,3485.0
47,North Coast ,2017,19117.0
49,Kitimat-Stikine,2017,38925.0
53,Fraser-Fort George,2017,100203.0
55,Peace River,2017,66195.0
59,Northern Rockies,2017,5360.0
25,Comox + Strathacona,2017,117533.0
51,Bulkley-Nechako + Stikine,2017,40189.0
1,East Kootenay,2018,64142.0
3,Central Kootenay,2018,62992.0
5,Kootenay-Boundary,2018,33184.0
7,Okanagan-Similkameen,2018,88443.0
9,Fraser Valley,2018,324988.0
15,Greater Vancouver,2018,2658594.0
17,Capital,2018,413016.0
19,Cowichan Valley,2018,89475.0
21,Nanaimo,2018,167356.0
23,Alberni-Clayoquot,2018,32978.0
27,Powell River,2018,21006.0
29,Sunshine Coast,2018,31551.0
31,Squamish-Lillooet,2018,47227.0
33,Thompson-Nicola,2018,144220.0
35,Central Okanagan,2018,213831.0
37,North Okanagan,2018,89813.0
39,Columbia-Shuswap,2018,55270.0
41,Cariboo,2018,65146.0
43,Mount Waddington,2018,11611.0
45,Central Coast,2018,3548.0
47,North Coast ,2018,19218.0
49,Kitimat-Stikine,2018,39085.0
53,Fraser-Fort George,2018,101957.0
55,Peace River,2018,66747.0
59,Northern Rockies,2018,5156.0
25,Comox + Strathacona,2018,119690.0
51,Bulkley-Nechako + Stikine,2018,40232.0
1,East Kootenay,2019,65228.0
3,Central Kootenay,2019,63484.0
5,Kootenay-Boundary,2019,33373.0
7,Okanagan-Similkameen,2019,89387.0
9,Fraser Valley,2019,331511.0
15,Greater Vancouver,2019,2709285.0
17,Capital,2019,419827.0
19,Cowichan Valley,2019,90230.0
21,Nanaimo,2019,169988.0
23,Alberni-Clayoquot,2019,33516.0
27,Powell River,2019,21093.0
29,Sunshine Coast,2019,31738.0
31,Squamish-Lillooet,2019,47839.0
33,Thompson-Nicola,2019,146077.0
35,Central Okanagan,2019,218602.0
37,North Okanagan,2019,90947.0
39,Columbia-Shuswap,2019,56188.0
41,Cariboo,2019,65381.0
43,Mount Waddington,2019,11699.0
45,Central Coast,2019,3553.0
47,North Coast ,2019,19277.0
49,Kitimat-Stikine,2019,39479.0
53,Fraser-Fort George,2019,103131.0
55,Peace River,2019,67140.0
59,Northern Rockies,2019,5068.0
25,Comox + Strathacona,2019,121457.0
51,Bulkley-Nechako + Stikine,2019,40298.0
1,East Kootenay,2020,65796.0
3,Central Kootenay,2020,63978.0
5,Kootenay-Boundary,2020,33414.0
7,Okanagan-Similkameen,2020,90066.0
9,Fraser Valley,2020,335317.0
15,Greater Vancouver,2020,2743774.0
17,Capital,2020,425818.0
19,Cowichan Valley,2020,90910.0
21,Nanaimo,2020,171693.0
23,Alberni-Clayoquot,2020,33856.0
27,Powell River,2020,21246.0
29,Sunshine Coast,2020,31894.0
31,Squamish-Lillooet,2020,48637.0
33,Thompson-Nicola,2020,147301.0
35,Central Okanagan,2020,223531.0
37,North Okanagan,2020,92195.0
39,Columbia-Shuswap,2020,56776.0
41,Cariboo,2020,65381.0
43,Mount Waddington,2020,11676.0
45,Central Coast,2020,3578.0
47,North Coast ,2020,19368.0
49,Kitimat-Stikine,2020,39978.0
53,Fraser-Fort George,2020,104036.0
55,Peace River,2020,67135.0
59,Northern Rockies,2020,4964.0
25,Comox + Strathacona,2020,122948.0
51,Bulkley-Nechako + Stikine,2020,40229.0
1,East Kootenay,2021,66515.0
3,Central Kootenay,2021,64198.0
5,Kootenay-Boundary,2021,33786.0
7,Okanagan-Similkameen,2021,90940.0
9,Fraser Valley,2021,339701.0
15,Greater Vancouver,2021,2764939.0
17,Capital,2021,430484.0
19,Cowichan Valley,2021,91646.0
21,Nanaimo,2021,173599.0
23,Alberni-Clayoquot,2021,34322.0
27,Powell River,2021,21407.0
29,Sunshine Coast,2021,32318.0
31,Squamish-Lillooet,2021,48739.0
33,Thompson-Nicola,2021,147920.0
35,Central Okanagan,2021,229005.0
37,North Okanagan,2021,93275.0
39,Columbia-Shuswap,2021,57691.0
41,Cariboo,2021,65624.0
43,Mount Waddington,2021,11787.0
45,Central Coast,2021,3621.0
47,North Coast ,2021,19506.0
49,Kitimat-Stikine,2021,40355.0
53,Fraser-Fort George,2021,103754.0
55,Peace River,2021,67145.0
59,Northern Rockies,2021,4963.0
25,Comox + Strathacona,2021,124501.0
51,Bulkley-Nechako + Stikine,2021,40637.0
1,East Kootenay,2022,67454.0
3,Central Kootenay,2022,64767.0
5,Kootenay-Boundary,2022,34080.0
7,Okanagan-Similkameen,2022,91749.0
9,Fraser Valley,2022,345588.0
15,Greater Vancouver,2022,2842720.0
17,Capital,2022,439950.0
19,Cowichan Valley,2022,92756.0
21,Nanaimo,2022,176382.0
23,Alberni-Clayoquot,2022,34867.0
27,Powell River,2022,21647.0
29,Sunshine Coast,2022,32865.0
31,Squamish-Lillooet,2022,49747.0
33,Thompson-Nicola,2022,150365.0
35,Central Okanagan,2022,235472.0
37,North Okanagan,2022,94903.0
39,Columbia-Shuswap,2022,58878.0
41,Cariboo,2022,65855.0
43,Mount Waddington,2022,11899.0
45,Central Coast,2022,3688.0
47,North Coast ,2022,19575.0
49,Kitimat-Stikine,2022,40880.0
53,Fraser-Fort George,2022,103861.0
55,Peace River,2022,67272.0
59,Northern Rockies,2022,4890.0
25,Comox + Strathacona,2022,126291.0
51,Bulkley-Nechako + Stikine,2022,40923.0
